資料集Id,資料集名稱,資料集提供機關名稱,資料集連結,主要欄位說明,資料資源下載連結,資料資源檔案格式,metadata文字編碼
31299,桃園市政府水務局建置水位站即時偵測資料,桃園市政府水務局,data.gov.tw/node/31299,資料時間、經度、緯度、站名、站名編號、行政區、護岸高M、水位高M、單張影像路徑、串流網址、警戒狀態,http://winfo.tycg.gov.tw/TYSAFE/UPLOADFILE/OPENDATA/WATERLEVEL.XML,其他,UTF-8
31300,桃園市政府地方稅務局104年稅務秘書執行成果表,桃園市政府地方稅務局,data.gov.tw/node/31300,親臨里長辦公室、下鄉服務、電話服務次數、網路服務次數、宣導諮詢服務人數、受理案件數,http://data.tycg.gov.tw/opendata/datalist/datasetMeta/download?id=a19d023b-71e5-4020-9eab-8e79099d082f&rid=77829d7d-3854-4cc2-84e0-d03b2d8fd089,CSV,UTF-8
31301,桃園市政府地方稅務局102年稅務秘書執行成果表,桃園市政府地方稅務局,data.gov.tw/node/31301,親臨里長辦公室、下鄉服務、電話服務次數、網路服務次數、宣導諮詢服務人數、受理案件數,http://data.tycg.gov.tw/opendata/datalist/datasetMeta/download?id=a2c838ff-a05a-4a74-b640-fb5aea80533b&rid=99306468-c99c-42c0-8170-6a6c5e150f8f,CSV,UTF-8
31302,桃園市政府地方稅務局103-104年跨機關單一窗口服務績效表,桃園市政府地方稅務局,data.gov.tw/node/31302,服務窗口、執行方式、103年件數、104年件數、104年效益,http://data.tycg.gov.tw/opendata/datalist/datasetMeta/download?id=6e3fbdb4-a7a1-4338-b3d0-95151fe4fec6&rid=3f38de4f-b134-4cc2-a36d-136089b8a0f5,CSV,UTF-8
31303,桃園市政府地方稅務局104年滿意度調查一覽表,桃園市政府地方稅務局,data.gov.tw/node/31303,面向、調查方式、問卷種類、調查項目、抽樣方法、樣本數、滿意度,http://data.tycg.gov.tw/opendata/datalist/datasetMeta/download?id=b24bb6a0-6650-41c8-a813-b654ae15d0ca&rid=cfc0056b-1962-4cc0-9b42-26247e4f594e,CSV,UTF-8
31304,桃園市政府地方稅務局103年稅務秘書執行成果表,桃園市政府地方稅務局,data.gov.tw/node/31304,親臨里長辦公室、下鄉服務、電話服務次數、網路服務次數、宣導諮詢服務人數、受理案件數,http://data.tycg.gov.tw/opendata/datalist/datasetMeta/download?id=26cc4d08-cc8e-41ce-954b-f7de442d8a1f&rid=36d64bee-9fd2-46dc-88f2-b0ca687ea828,CSV,UTF-8
31338,桃園市公共設施用地已闢建面積,桃園市政府都市發展局,data.gov.tw/node/31338,"總計	公園	綠地	廣場	兒童遊樂場	體育場	道路及人行步道	停車場	加油站	市場	學校	社教機構	醫療衛生	機關	墓地	變電所及電力事業用地	郵件及電信用地	民用航空站及機場	溝渠河道	港埠	捷運系統交通車站鐵路	環保設施	其他	總計
",http://data.tycg.gov.tw/opendata/datalist/datasetMeta/download?id=aea22655-561a-4b1a-83cc-74d31432808f&rid=91cb140a-643d-41b4-96ef-4c5175febf15,CSV,UTF-8
31339,桃園市公共設施用地計畫面積,桃園市政府都市發展局,data.gov.tw/node/31339,"總計	公園	綠地	廣場	兒童遊樂場	體育場	道路及人行步道	停車場	加油站	市場	學校	社教機構	醫療衛生	機關	墓地	變電所及電力事業用地	郵件及電信用地	民用航空站及機場	溝渠河道	港埠	捷運系統交通車站鐵路	環保設施	其他	總計
",http://data.tycg.gov.tw/opendata/datalist/datasetMeta/download?id=b442088e-2553-4414-914f-3f30e0afae4f&rid=3860d6be-e0f4-4dbc-ab9e-676814dafc47,CSV,UTF-8
31340,桃園市都市計畫地區種類,桃園市政府都市發展局,data.gov.tw/node/31340,"都市計畫區別	總計		市鎮計畫		鄉街計畫		特定區計畫
",http://data.tycg.gov.tw/opendata/datalist/datasetMeta/download?id=2c61dd4f-45e7-4882-852a-c70284880eca&rid=43fa5d8e-82ed-4694-98e5-53729db55c33,CSV,UTF-8
31341,桃園市都市計畫土地使用面積,桃園市政府都市發展局,data.gov.tw/node/31341,"都市計畫區別,合計,都市發展地區,非都市發展地區					
 ",http://data.tycg.gov.tw/opendata/datalist/datasetMeta/download?id=68a7798a-3363-4412-9162-a9d37d3bc4ee&rid=386f42f7-5a72-4a4f-aace-e6a8ad4f4f1b,CSV,UTF-8
